record_id,js_number,directory,cohort
JS00001,1,01/010,Chapman-Shaoxing
JS00002,2,01/010,Chapman-Shaoxing
JS00004,4,01/010,Chapman-Shaoxing
JS00005,5,01/010,Chapman-Shaoxing
JS00006,6,01/010,Chapman-Shaoxing
JS00007,7,01/010,Chapman-Shaoxing
JS00008,8,01/010,Chapman-Shaoxing
JS00009,9,01/010,Chapman-Shaoxing
JS00010,10,01/010,Chapman-Shaoxing
JS00011,11,01/010,Chapman-Shaoxing
JS00012,12,01/010,Chapman-Shaoxing
JS00013,13,01/010,Chapman-Shaoxing
JS00014,14,01/010,Chapman-Shaoxing
JS00015,15,01/010,Chapman-Shaoxing
JS00016,16,01/010,Chapman-Shaoxing
JS00017,17,01/010,Chapman-Shaoxing
JS00018,18,01/010,Chapman-Shaoxing
JS00019,19,01/010,Chapman-Shaoxing
JS00020,20,01/010,Chapman-Shaoxing
JS00021,21,01/010,Chapman-Shaoxing
JS00022,22,01/010,Chapman-Shaoxing
JS00023,23,01/010,Chapman-Shaoxing
JS00024,24,01/010,Chapman-Shaoxing
JS00025,25,01/010,Chapman-Shaoxing
JS00026,26,01/010,Chapman-Shaoxing
JS00027,27,01/010,Chapman-Shaoxing
JS00029,29,01/010,Chapman-Shaoxing
JS00030,30,01/010,Chapman-Shaoxing
JS00031,31,01/010,Chapman-Shaoxing
JS00032,32,01/010,Chapman-Shaoxing
JS00033,33,01/010,Chapman-Shaoxing
JS00034,34,01/010,Chapman-Shaoxing
JS00036,36,01/010,Chapman-Shaoxing
JS00037,37,01/010,Chapman-Shaoxing
JS00038,38,01/010,Chapman-Shaoxing
JS00039,39,01/010,Chapman-Shaoxing
JS00040,40,01/010,Chapman-Shaoxing
JS00041,41,01/010,Chapman-Shaoxing
JS00042,42,01/010,Chapman-Shaoxing
JS00043,43,01/010,Chapman-Shaoxing
JS00044,44,01/010,Chapman-Shaoxing
JS00045,45,01/010,Chapman-Shaoxing
JS00046,46,01/010,Chapman-Shaoxing
JS00047,47,01/010,Chapman-Shaoxing
JS00048,48,01/010,Chapman-Shaoxing
JS00049,49,01/010,Chapman-Shaoxing
JS00050,50,01/010,Chapman-Shaoxing
JS00051,51,01/010,Chapman-Shaoxing
JS00052,52,01/010,Chapman-Shaoxing
JS00053,53,01/010,Chapman-Shaoxing
JS00054,54,01/010,Chapman-Shaoxing
JS00055,55,01/010,Chapman-Shaoxing
JS00056,56,01/010,Chapman-Shaoxing
JS00057,57,01/010,Chapman-Shaoxing
JS00058,58,01/010,Chapman-Shaoxing
JS00059,59,01/010,Chapman-Shaoxing
JS00060,60,01/010,Chapman-Shaoxing
JS00061,61,01/010,Chapman-Shaoxing
JS00062,62,01/010,Chapman-Shaoxing
JS00063,63,01/010,Chapman-Shaoxing
JS00064,64,01/010,Chapman-Shaoxing
JS00065,65,01/010,Chapman-Shaoxing
JS00066,66,01/010,Chapman-Shaoxing
JS00067,67,01/010,Chapman-Shaoxing
JS00068,68,01/010,Chapman-Shaoxing
JS00069,69,01/010,Chapman-Shaoxing
JS00070,70,01/010,Chapman-Shaoxing
JS00071,71,01/010,Chapman-Shaoxing
JS00072,72,01/010,Chapman-Shaoxing
JS00073,73,01/010,Chapman-Shaoxing
JS00074,74,01/010,Chapman-Shaoxing
JS00075,75,01/010,Chapman-Shaoxing
JS00076,76,01/010,Chapman-Shaoxing
JS00077,77,01/010,Chapman-Shaoxing
JS00078,78,01/010,Chapman-Shaoxing
JS00079,79,01/010,Chapman-Shaoxing
JS00080,80,01/010,Chapman-Shaoxing
JS00081,81,01/010,Chapman-Shaoxing
JS00082,82,01/010,Chapman-Shaoxing
JS00083,83,01/010,Chapman-Shaoxing
JS00084,84,01/010,Chapman-Shaoxing
JS00085,85,01/010,Chapman-Shaoxing
JS00086,86,01/010,Chapman-Shaoxing
JS00087,87,01/010,Chapman-Shaoxing
JS00088,88,01/010,Chapman-Shaoxing
JS00089,89,01/010,Chapman-Shaoxing
JS00090,90,01/010,Chapman-Shaoxing
JS00091,91,01/010,Chapman-Shaoxing
JS00092,92,01/010,Chapman-Shaoxing
JS00093,93,01/010,Chapman-Shaoxing
JS00094,94,01/010,Chapman-Shaoxing
JS00095,95,01/010,Chapman-Shaoxing
JS00096,96,01/010,Chapman-Shaoxing
JS00097,97,01/010,Chapman-Shaoxing
JS00099,99,01/010,Chapman-Shaoxing
JS00100,100,01/010,Chapman-Shaoxing
JS00101,101,01/010,Chapman-Shaoxing
JS00102,102,01/010,Chapman-Shaoxing
JS00103,103,01/010,Chapman-Shaoxing
JS00104,104,01/010,Chapman-Shaoxing
JS00105,105,01/011,Chapman-Shaoxing
JS00106,106,01/011,Chapman-Shaoxing
JS00107,107,01/011,Chapman-Shaoxing
JS00108,108,01/011,Chapman-Shaoxing
JS00109,109,01/011,Chapman-Shaoxing
JS00110,110,01/011,Chapman-Shaoxing
JS00111,111,01/011,Chapman-Shaoxing
JS00112,112,01/011,Chapman-Shaoxing
JS00113,113,01/011,Chapman-Shaoxing
JS00114,114,01/011,Chapman-Shaoxing
JS00115,115,01/011,Chapman-Shaoxing
JS00116,116,01/011,Chapman-Shaoxing
JS00117,117,01/011,Chapman-Shaoxing
JS00118,118,01/011,Chapman-Shaoxing
JS00119,119,01/011,Chapman-Shaoxing
JS00120,120,01/011,Chapman-Shaoxing
JS00121,121,01/011,Chapman-Shaoxing
JS00122,122,01/011,Chapman-Shaoxing
JS00123,123,01/011,Chapman-Shaoxing
JS00124,124,01/011,Chapman-Shaoxing
JS00125,125,01/011,Chapman-Shaoxing
JS00126,126,01/011,Chapman-Shaoxing
JS00127,127,01/011,Chapman-Shaoxing
JS00128,128,01/011,Chapman-Shaoxing
JS00129,129,01/011,Chapman-Shaoxing
JS00130,130,01/011,Chapman-Shaoxing
JS00131,131,01/011,Chapman-Shaoxing
JS00132,132,01/011,Chapman-Shaoxing
JS00133,133,01/011,Chapman-Shaoxing
JS00134,134,01/011,Chapman-Shaoxing
JS00137,137,01/011,Chapman-Shaoxing
JS00138,138,01/011,Chapman-Shaoxing
JS00139,139,01/011,Chapman-Shaoxing
JS00140,140,01/011,Chapman-Shaoxing
JS00141,141,01/011,Chapman-Shaoxing
JS00142,142,01/011,Chapman-Shaoxing
JS00143,143,01/011,Chapman-Shaoxing
JS00144,144,01/011,Chapman-Shaoxing
JS00145,145,01/011,Chapman-Shaoxing
JS00146,146,01/011,Chapman-Shaoxing
JS00147,147,01/011,Chapman-Shaoxing
JS00148,148,01/011,Chapman-Shaoxing
JS00150,150,01/011,Chapman-Shaoxing
JS00151,151,01/011,Chapman-Shaoxing
JS00152,152,01/011,Chapman-Shaoxing
JS00153,153,01/011,Chapman-Shaoxing
JS00154,154,01/011,Chapman-Shaoxing
JS00155,155,01/011,Chapman-Shaoxing
JS00156,156,01/011,Chapman-Shaoxing
JS00157,157,01/011,Chapman-Shaoxing
JS00158,158,01/011,Chapman-Shaoxing
JS00159,159,01/011,Chapman-Shaoxing
JS00160,160,01/011,Chapman-Shaoxing
JS00161,161,01/011,Chapman-Shaoxing
JS00162,162,01/011,Chapman-Shaoxing
JS00163,163,01/011,Chapman-Shaoxing
JS00164,164,01/011,Chapman-Shaoxing
JS00165,165,01/011,Chapman-Shaoxing
JS00166,166,01/011,Chapman-Shaoxing
JS00167,167,01/011,Chapman-Shaoxing
JS00168,168,01/011,Chapman-Shaoxing
JS00169,169,01/011,Chapman-Shaoxing
JS00170,170,01/011,Chapman-Shaoxing
JS00171,171,01/011,Chapman-Shaoxing
JS00172,172,01/011,Chapman-Shaoxing
JS00173,173,01/011,Chapman-Shaoxing
JS00174,174,01/011,Chapman-Shaoxing
JS00175,175,01/011,Chapman-Shaoxing
JS00176,176,01/011,Chapman-Shaoxing
JS00177,177,01/011,Chapman-Shaoxing
JS00178,178,01/011,Chapman-Shaoxing
JS00179,179,01/011,Chapman-Shaoxing
JS00180,180,01/011,Chapman-Shaoxing
JS00181,181,01/011,Chapman-Shaoxing
JS00182,182,01/011,Chapman-Shaoxing
JS00183,183,01/011,Chapman-Shaoxing
JS00184,184,01/011,Chapman-Shaoxing
JS00185,185,01/011,Chapman-Shaoxing
JS00186,186,01/011,Chapman-Shaoxing
JS00187,187,01/011,Chapman-Shaoxing
JS00188,188,01/011,Chapman-Shaoxing
JS00189,189,01/011,Chapman-Shaoxing
JS00190,190,01/011,Chapman-Shaoxing
JS00191,191,01/011,Chapman-Shaoxing
JS00192,192,01/011,Chapman-Shaoxing
JS00193,193,01/011,Chapman-Shaoxing
JS00194,194,01/011,Chapman-Shaoxing
JS00195,195,01/011,Chapman-Shaoxing
JS00196,196,01/011,Chapman-Shaoxing
JS00197,197,01/011,Chapman-Shaoxing
JS00198,198,01/011,Chapman-Shaoxing
JS00199,199,01/011,Chapman-Shaoxing
JS00200,200,01/011,Chapman-Shaoxing
JS00201,201,01/011,Chapman-Shaoxing
JS00202,202,01/011,Chapman-Shaoxing
JS00203,203,01/011,Chapman-Shaoxing
JS00204,204,01/011,Chapman-Shaoxing
JS00205,205,01/011,Chapman-Shaoxing
JS00206,206,01/011,Chapman-Shaoxing
JS00207,207,01/011,Chapman-Shaoxing
JS00208,208,01/012,Chapman-Shaoxing
JS00209,209,01/012,Chapman-Shaoxing
JS00210,210,01/012,Chapman-Shaoxing
JS00211,211,01/012,Chapman-Shaoxing
