record_id,pur_prd,pur_snr,pur_corr,pur_det_rate,pur_displace_ms,pur_rri_err_ms,pur_hr_err_bpm,pur_amp_err,pur_width_err_ms,adv_prd,adv_snr,adv_corr,adv_det_rate,adv_displace_ms,adv_rri_err_ms,adv_hr_err_bpm,adv_amp_err,adv_width_err_ms,advpur_prd,advpur_snr,advpur_corr,advpur_det_rate,advpur_displace_ms,advpur_rri_err_ms,advpur_hr_err_bpm,advpur_amp_err,advpur_width_err_ms
JS00918,4.3521,27.226,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.5734,31.7898,0.9997,1.0,0.0,0.0,0.0,0.0278,0.0,4.8829,26.2265,0.9988,1.0,0.0,0.0,0.0,0.0409,0.0
JS02236,3.5901,28.898,0.9994,1.0,0.0,0.0,0.0,0.0487,0.6667,2.4329,32.2776,0.9997,1.0,0.0,0.0,0.0,0.0187,0.0,4.0384,27.8759,0.9992,1.0,0.0,0.0,0.0,0.0539,0.6667
JS03150,4.4022,27.1266,0.9991,1.0,0.0,0.0,0.0,0.05,0.625,2.2951,32.784,0.9997,1.0,0.0,0.0,0.0,0.0292,0.0,4.7745,26.4215,0.9989,1.0,0.0,0.0,0.0,0.0658,0.625
JS03934,4.2982,27.3343,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.4797,32.112,0.9997,1.0,0.0,0.0,0.0,0.0189,0.0,4.8646,26.259,0.9989,1.0,0.0,0.0,0.0,0.0601,0.0
JS04467,3.3775,29.4282,0.9995,1.0,0.0,0.0,0.0,0.05,0.0,2.4543,32.2015,0.9997,1.0,0.0,0.0,0.0,0.0236,0.0,3.883,28.2167,0.9993,1.0,0.0,0.0,0.0,0.054,0.0
JS05359,4.277,27.3773,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.5716,31.7958,0.9997,1.0,0.0,0.0,0.0,0.0183,0.0,4.6532,26.645,0.9989,1.0,0.0,0.0,0.0,0.0387,0.0
JS06443,3.6576,28.7361,0.9993,1.0,0.0,0.0,0.0,0.05,0.0,2.6485,31.54,0.9997,1.0,0.0,0.0,0.0,0.0237,0.0,4.311,27.3085,0.9991,1.0,0.0,0.0,0.0,0.0393,0.0
JS07240,3.3451,29.5119,0.9995,1.0,0.0,0.0,0.0,0.05,0.7143,2.5265,31.9497,0.9997,1.0,0.0,0.0,0.0,0.0194,0.0,4.101,27.7422,0.9992,1.0,0.0,0.0,0.0,0.0619,0.7143
JS07280,3.8337,28.3277,0.9993,1.0,0.0,0.0,0.0,0.05,0.0,2.6274,31.6096,0.9997,1.0,0.0,0.0,0.0,0.0251,0.0,4.5014,26.9331,0.999,1.0,0.0,0.0,0.0,0.0751,0.0
JS07486,2.9399,30.6334,0.9996,1.0,0.0,0.0,0.0,0.05,0.5556,2.5622,31.8277,0.9997,1.0,2.2222,0.0,0.0,0.0386,0.5556,3.9908,27.9787,0.9992,1.0,2.2222,0.0,0.0,0.0798,0.5556
JS08019,4.2297,27.4739,0.9991,1.0,0.0,0.0,0.0,0.0492,0.0,2.526,31.9512,0.9997,1.0,0.0,0.0,0.0,0.03,0.0,4.7424,26.4801,0.9989,1.0,0.0,0.0,0.0,0.0192,0.0
JS08441,4.1295,27.6821,0.9992,1.0,0.0,0.0,0.0,0.05,0.4167,2.5326,31.9286,0.9997,1.0,0.0,0.0,0.0,0.0284,0.4167,4.7112,26.5373,0.9989,1.0,0.0,0.0,0.0,0.0279,0.4167
JS09142,4.0805,27.7857,0.9992,1.0,0.0,0.0,0.0,0.05,1.1765,2.5647,31.8192,0.9997,1.0,0.0,0.0,0.0,0.0284,0.0,4.6695,26.6146,0.9989,1.0,0.0,0.0,0.0,0.0216,0.5882
JS09701,4.0338,27.8857,0.9992,1.0,0.0,0.0,0.0,0.05,0.0,2.5064,32.0188,0.9997,1.0,0.0,0.0,0.0,0.0259,0.0,4.6603,26.6317,0.999,1.0,0.0,0.0,0.0,0.0759,0.0
JS11601,4.4323,27.0674,0.999,1.0,0.0,0.0,0.0,0.05,0.0,2.529,31.941,0.9997,1.0,0.0,0.0,0.0,0.0275,0.0,4.9931,26.0326,0.9988,1.0,0.0,0.0,0.0,0.0319,0.0
JS11686,4.6147,26.7171,0.999,1.0,0.0,182.381,0.0783,0.05,0.0,2.4302,32.287,0.9997,1.0,0.0,0.0,0.0,0.0273,0.0,4.9083,26.1814,0.9988,1.0,0.0,182.381,0.0783,0.0259,0.0
JS12020,3.2392,29.7913,0.9995,1.0,0.0,0.0,0.0,0.05,0.0,2.709,31.3438,0.9996,1.0,0.0,0.0,0.0,0.0258,0.0,4.0534,27.8436,0.9992,1.0,0.0,0.0,0.0,0.0758,0.0
JS12146,3.4373,29.2756,0.9994,1.0,0.0,0.0,0.0,0.05,0.0,2.5185,31.977,0.9997,1.0,0.0,0.0,0.0,0.0251,0.0,3.8816,28.2197,0.9993,1.0,0.0,0.0,0.0,0.0701,0.0
JS13369,4.4488,27.0352,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.5827,31.7585,0.9997,1.0,0.0,0.0,0.0,0.0231,0.0,4.877,26.237,0.9988,1.0,0.0,0.0,0.0,0.0363,0.0
JS13665,3.1826,29.9445,0.9995,0.625,10.0,187.1429,0.0831,0.0338,0.0,2.4933,32.0644,0.9997,0.625,10.0,187.1429,0.0831,0.0349,4.0,3.7584,28.4999,0.9993,0.625,10.0,187.1429,0.0831,0.0441,0.0
JS18568,3.7257,28.5759,0.9993,1.0,0.0,0.0,0.0,0.05,22.8571,2.4574,32.1903,0.9997,1.0,0.0,0.0,0.0,0.0218,0.0,4.1977,27.5399,0.9991,1.0,0.0,0.0,0.0,0.0441,22.8571
JS18626,3.9402,28.0896,0.9992,0.8462,0.9091,68.9394,0.0659,0.0376,4.5455,2.4786,32.1159,0.9997,1.0,0.7692,0.0,0.0,0.0201,0.0,4.4102,27.1108,0.999,0.9231,10.8333,0.0,0.0,0.0435,0.8333
JS19093,3.4316,29.29,0.9994,1.0,0.0,6.7424,0.0074,0.05,0.0,2.5455,31.8844,0.9997,1.0,0.0,0.0,0.0,0.0264,0.0,3.9104,28.1555,0.9992,1.0,0.0,0.0,0.0,0.0264,0.0
JS20271,3.5632,28.9632,0.9994,1.0,0.0,0.0,0.0,0.0478,0.0,2.54,31.9033,0.9997,1.0,0.0,0.0,0.0,0.0242,0.0,4.1977,27.5398,0.9992,1.0,0.0,0.0,0.0,0.0346,0.0
JS20339,3.994,27.9718,0.9992,1.0,0.5556,0.0,0.0,0.0487,0.0,2.4506,32.2146,0.9997,1.0,0.0,0.0,0.0,0.0253,0.5556,4.3702,27.19,0.9991,1.0,0.5556,0.0,0.0,0.048,0.0
JS20435,3.0926,30.1936,0.9995,1.0,0.0,0.0,0.0,0.0494,0.9091,2.6231,31.6236,0.9997,1.0,0.0,0.0,0.0,0.0274,0.0,3.773,28.4663,0.9994,1.0,0.0,0.0,0.0,0.072,0.0
JS20705,4.2129,27.5084,0.9992,1.0,0.0,0.0,0.0,0.05,0.5263,2.4733,32.1345,0.9997,1.0,0.0,0.0,0.0,0.0239,0.0,4.7266,26.5091,0.9989,1.0,0.0,0.0,0.0,0.0517,0.0
JS21612,3.3297,29.5518,0.9995,1.0,0.0,0.0,0.0,0.0458,0.0,2.3853,32.4491,0.9997,1.0,0.0,0.0,0.0,0.0242,0.0,3.8188,28.3614,0.9993,1.0,0.0,0.0,0.0,0.0576,1.1111
JS23505,3.5879,28.9032,0.9994,1.0,0.0,0.0,0.0,0.05,2.2222,2.5964,31.7125,0.9997,1.0,0.0,0.0,0.0,0.0207,0.0,3.9345,28.1023,0.9992,1.0,0.0,0.0,0.0,0.05,2.2222
JS34762,3.4832,29.1605,0.9994,1.0,0.0,0.0,0.0,0.05,0.0,2.532,31.9307,0.9997,1.0,0.0,0.0,0.0,0.0288,0.0,4.058,27.8339,0.9993,1.0,0.0,0.0,0.0,0.0649,0.0
JS36395,4.14,27.6599,0.9992,1.0,0.0,0.0,0.0,0.05,0.0,2.5648,31.8189,0.9997,1.0,0.0,0.0,0.0,0.0186,0.0,4.7081,26.543,0.9989,1.0,0.0,0.0,0.0,0.0349,0.0
JS36617,3.9125,28.1509,0.9993,1.0,0.0,0.0,0.0,0.0468,0.0,2.5872,31.7434,0.9997,1.0,0.0,0.0,0.0,0.0268,0.0,4.3339,27.2624,0.9991,1.0,0.0,0.0,0.0,0.0289,0.0
JS36622,3.9365,28.0979,0.9993,1.0,0.0,0.0,0.0,0.05,0.0,2.5081,32.013,0.9997,1.0,0.0,0.0,0.0,0.023,0.0,4.6284,26.6913,0.999,1.0,0.0,0.0,0.0,0.0702,0.0
JS36645,3.3135,29.5943,0.9995,1.0,0.0,0.0,0.0,0.0458,0.9091,2.5967,31.7115,0.9997,1.0,0.0,0.0,0.0,0.0198,0.9091,3.9415,28.0868,0.9992,1.0,0.0,0.0,0.0,0.0456,0.9091
JS36698,3.7733,28.4657,0.9993,1.0,0.0,0.0,0.0,0.05,0.7692,2.5283,31.9435,0.9997,1.0,0.0,0.0,0.0,0.0288,0.0,4.1839,27.5683,0.9992,1.0,0.0,0.0,0.0,0.0719,0.0
JS36944,3.7956,28.4143,0.9993,1.0,0.0,0.0,0.0,0.0466,0.8333,2.495,32.0586,0.9997,1.0,0.0,0.0,0.0,0.03,0.0,4.3225,27.2852,0.9991,1.0,0.0,0.0,0.0,0.075,0.8333
JS37692,4.1563,27.6258,0.9992,1.0,0.0,0.0,0.0,0.05,0.0,2.4831,32.1002,0.9997,1.0,0.0,0.0,0.0,0.0224,0.0,4.5182,26.9007,0.9991,1.0,0.0,0.0,0.0,0.0628,0.0
JS38758,4.3829,27.1648,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.4245,32.3077,0.9997,1.0,0.0,0.0,0.0,0.0186,0.0,4.7481,26.4695,0.9989,1.0,0.0,0.0,0.0,0.0426,0.0
JS38857,4.1872,27.5616,0.9992,1.0,0.0,0.0,0.0,0.05,0.0,2.5941,31.7204,0.9997,1.0,0.0,0.0,0.0,0.0221,0.0,4.7529,26.4609,0.9989,1.0,0.0,0.0,0.0,0.062,0.0
JS38944,1.6033,35.8998,0.9999,1.0,0.0,0.0,0.0,0.0417,1.0,2.673,31.46,0.9997,1.0,0.0,0.0,0.0,0.0265,0.0,3.1062,30.1553,0.9995,1.0,0.0,0.0,0.0,0.023,1.0
JS39310,4.597,26.7505,0.999,1.0,0.0,0.0,0.0,0.05,0.0,2.5951,31.7169,0.9997,1.0,0.0,0.0,0.0,0.0215,0.0,5.1537,25.7576,0.9987,1.0,0.0,0.0,0.0,0.044,0.0
JS39992,4.2418,27.4489,0.9991,1.0,0.0,0.0,0.0,0.05,0.0,2.5088,32.0106,0.9997,1.0,0.0,0.0,0.0,0.0241,0.0,4.7505,26.4652,0.9989,1.0,0.0,0.0,0.0,0.0459,0.0
JS40310,2.6024,31.6924,0.9997,1.0,0.0,0.0,0.0,0.05,0.0,2.2952,32.7835,0.9997,1.0,0.0,0.0,0.0,0.0274,0.0,3.497,29.1261,0.9994,1.0,0.0,0.0,0.0,0.0726,0.0
