record_id,subset
A0001,train
A0002,train
A0003,train
A0004,train
A0005,train
A0006,train
A0007,train
A0008,train
A0009,train
A0010,train
A0011,train
A0012,train
A0013,train
A0014,train
A0015,train
A0016,train
A0017,train
A0018,train
A0019,train
A0020,train
A0021,train
A0022,train
A0023,train
A0024,train
A0025,train
A0026,train
A0027,train
A0028,train
A0029,train
A0030,train
A0031,train
A0032,train
A0033,train
A0034,train
A0035,train
A0036,train
A0037,train
A0038,train
A0039,train
A0040,train
A0041,train
A0042,train
A0043,train
A0044,train
A0045,train
A0046,train
A0047,train
A0048,train
A0049,train
A0050,train
A0051,train
A0052,train
A0053,train
A0054,train
A0055,train
A0056,train
A0057,train
A0058,train
A0059,train
A0060,train
A0061,train
A0062,train
A0063,train
A0064,train
A0065,train
A0066,train
A0067,train
A0068,train
A0069,train
A0070,train
A0071,train
A0072,train
A0073,train
A0074,train
A0075,train
A0076,train
A0077,train
A0078,train
A0079,train
A0080,train
A0081,train
A0082,train
A0083,train
A0084,train
A0085,train
A0086,train
A0087,train
A0088,train
A0089,train
A0090,train
A0091,train
A0092,train
A0093,train
A0094,train
A0095,train
A0096,train
A0097,train
A0098,train
A0099,train
A0100,train
A0101,train
A0102,train
A0103,train
A0104,train
A0105,train
A0106,train
A0107,train
A0108,train
A0109,train
A0110,train
A0111,train
A0112,train
A0113,train
A0114,train
A0115,train
A0116,train
A0117,train
A0118,train
A0119,train
A0120,train
A0121,train
A0122,train
A0123,train
A0124,train
A0125,train
A0126,train
A0127,train
A0128,train
A0129,train
A0130,train
A0131,train
A0132,train
A0133,train
A0134,train
A0135,train
A0136,train
A0137,train
A0138,train
A0139,train
A0140,train
A0141,train
A0142,train
A0143,train
A0144,train
A0145,train
A0146,train
A0147,train
A0148,train
A0149,train
A0150,train
A0151,train
A0152,train
A0153,train
A0154,train
A0155,train
A0156,train
A0157,train
A0158,train
A0159,train
A0160,train
A0161,train
A0162,train
A0163,train
A0164,train
A0165,train
A0166,train
A0167,train
A0168,train
A0169,train
A0170,train
A0171,train
A0172,train
A0173,train
A0174,train
A0175,train
A0176,train
A0177,train
A0178,train
A0179,train
A0180,train
A0181,train
A0182,train
A0183,train
A0184,train
A0185,train
A0186,train
A0187,train
A0188,train
A0189,train
A0190,train
A0191,train
A0192,train
A0193,train
A0194,train
A0195,train
A0196,train
A0197,train
A0198,train
A0199,train
A0200,train
A0201,train
A0202,train
A0203,train
A0204,train
A0205,train
A0206,train
A0207,train
A0208,train
A0209,train
A0210,train
A0211,train
A0212,train
A0213,train
A0214,train
A0215,train
A0216,train
A0217,train
A0218,train
A0219,train
A0220,train
A0221,train
A0222,train
A0223,train
A0224,train
A0225,train
A0226,train
A0227,train
A0228,train
A0229,train
A0230,train
A0231,train
A0232,train
A0233,train
A0234,train
A0235,train
A0236,train
A0237,train
A0238,train
A0239,train
A0240,train
A0241,train
A0242,train
A0243,train
A0244,train
A0245,train
A0246,train
A0247,train
A0248,train
A0249,train
A0250,train
A0251,train
A0252,train
A0253,train
A0254,train
A0255,train
A0256,train
A0257,train
A0258,train
A0259,train
A0260,train
A0261,train
A0262,train
A0263,train
A0264,train
A0265,train
A0266,train
A0267,train
A0268,train
A0269,train
A0270,train
A0271,train
A0272,train
A0273,train
A0274,train
A0275,train
A0276,train
A0277,train
A0278,train
A0279,train
A0280,train
A0281,train
A0282,train
A0283,train
A0284,train
A0285,train
A0286,train
A0287,train
A0288,train
A0289,train
A0290,train
A0291,train
A0292,train
A0293,train
A0294,train
A0295,train
A0296,train
A0297,train
A0298,train
A0299,train
A0300,train
A0301,train
A0302,train
A0303,train
A0304,train
A0305,train
A0306,train
A0307,train
A0308,train
A0309,train
A0310,train
