tier,cohort,metric,point,ci_lo,ci_hi,n_boot,n_records
T0,Chapman-Shaoxing,macro_auc,0.8829571610623882,0.8757138948767745,0.8898702080620943,500,4797
T0,Chapman-Shaoxing,macro_f1,0.545612871761241,0.5324033760317208,0.5584970000071051,500,4797
T0,Ningbo,macro_auc,0.8599852818752434,0.8554119890353475,0.8641839632008311,500,10817
T0,Ningbo,macro_f1,0.3747908224847889,0.3667321195367497,0.3832120944340186,500,10817
T0,ALL,macro_auc,0.8622168840023505,0.8574344542932684,0.8672485906178641,500,15614
T0,ALL,macro_f1,0.4786621441243043,0.47172326675080795,0.48627415004895863,500,15614
T1,Chapman-Shaoxing,macro_auc,0.8829571610623882,0.8757138948767745,0.8898702080620943,500,4797
T1,Chapman-Shaoxing,macro_f1,0.5047664302790565,0.4939896748513416,0.5157518199283561,500,4797
T1,Ningbo,macro_auc,0.8599852818752434,0.8554119890353475,0.8641839632008311,500,10817
T1,Ningbo,macro_f1,0.3527697907757448,0.3470667835281479,0.3585552888705243,500,10817
T1,ALL,macro_auc,0.8622168840023505,0.8574344542932684,0.8672485906178641,500,15614
T1,ALL,macro_f1,0.4425660540760006,0.43669451313520335,0.4483233733973167,500,15614
